,Item_Fat_Content,Item_Type,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,mrp per weight,visibility per mrp,mrp per year,Predictions
0,Low Fat,Snack Foods,107.8622,Medium,Tier 1,Supermarket Type1,5.198178313253012,7.013426390338785e-05,0.05395807903951976,1838.4735400000004
1,reg,Dairy,87.3198,Medium,Tier 2,Supermarket Type1,10.5204578313253,0.00044007976426881415,0.04350762331838565,1333.7971400000001
2,Low Fat,Others,241.7538,Medium,Tier 3,Grocery Store,16.558479452054797,0.00041188559600717755,0.1209978978978979,447.32882666666677
3,Low Fat,Snack Foods,155.034,Medium,Tier 2,Supermarket Type1,21.193984962406013,9.925818207618974e-05,0.07724663677130045,1750.98742
4,Regular,Dairy,234.23,Medium,Tier 3,Supermarket Type3,18.7384,0.000506336993553345,0.118,6026.067026666666
5,Regular,Fruits and Vegetables,117.1492,Small,Tier 1,Supermarket Type1,11.953999999999999,0.0005447515305268837,0.05866259389083625,2383.386453333333
6,Regular,Baking Goods,50.1034,Medium,Tier 3,Supermarket Type2,2.5893229974160206,0.0016486213909634876,0.02493947237431558,738.7050999999999
7,Low Fat,Baking Goods,81.0592,Medium,Tier 3,Supermarket Type3,6.484736000000001,0.00019470331560143697,0.04083586901763225,1726.996426666666
8,Regular,Snack Foods,95.7436,Medium,Tier 2,Supermarket Type1,15.185344964314037,0.0012884980928229146,0.04782397602397603,1530.1415599999998
9,Low Fat,Baking Goods,186.8924,Medium,Tier 2,Supermarket Type1,31.226800334168754,3.0490458681037858e-05,0.09312027902341805,2439.5577799999987
10,Low Fat,Fruits and Vegetables,118.3466,Medium,Tier 2,Supermarket Type1,7.1293132530120475,0.0008751335061590278,0.05896691579471848,2115.2244066666667
11,Low Fat,Fruits and Vegetables,85.3908,Medium,Tier 2,Supermarket Type1,12.95763277693475,0.0012391436782416842,0.04265274725274725,1757.712
12,Low Fat,Health and Hygiene,240.4196,Small,Tier 1,Grocery Store,19.233568,0.0007115859730238301,0.12111818639798488,646.1367066666667
13,Low Fat,Breads,122.3098,Medium,Tier 1,Supermarket Type1,25.56108672936259,0.0007582189734591995,0.061185492746373187,1715.9663399999997
14,LF,Hard Drinks,52.0298,High,Tier 3,Supermarket Type1,3.1062567164179105,0.00040758303895075516,0.02618510317060896,866.8272133333335
15,Regular,Baking Goods,151.6366,Medium,Tier 1,Supermarket Type1,24.716642216788916,0.0005239546389196276,0.07585622811405703,2470.3399333333336
16,Low Fat,Seafood,198.7768,Medium,Tier 2,Supermarket Type1,10.013944584382871,0.0002723416917869691,0.0992891108891109,3260.9552400000002
17,Low Fat,Soft Drinks,192.2188,Medium,Tier 3,Supermarket Type2,10.768560224089635,0.00019759234268448248,0.09567884519661522,2985.358426666667
18,Low Fat,Household,109.6912,Medium,Tier 3,Supermarket Type3,8.775295999999999,0.00025694261709234654,0.05526005037783375,3095.1932333333343
19,Low Fat,Snack Foods,193.7136,Medium,Tier 3,Grocery Store,14.24364705882353,0.0010164368273575008,0.09695375375375376,524.0289866666666
20,Low Fat,Fruits and Vegetables,175.008,High,Tier 3,Supermarket Type1,24.649014084507044,0.0006280863617663192,0.08807649723200806,2908.2587866666668
21,Low Fat,Others,239.9196,Small,Tier 2,Supermarket Type1,12.495812500000001,0.0007611684706043191,0.11972035928143712,3711.835000000001
